"VC","SISA_JAN","SA_FEB","DIFF","InJan","InFeb"
"101BTB251200032","-26443493.740078","0","26443493.740078","True","False"
"101BTB251200030","-3997584.558002","0","3997584.558002","True","False"
"101BTB251100056","-156900.960399","0","156900.960399","True","False"
"101BTB251200033","-96974.195422","0","96974.195422","True","False"
"101BTB251200023","-59499.421396","0","59499.421396","True","False"
"101BTB251200040","-52961.424815","0","52961.424815","True","False"
"101BTB261200002","-40542.887075","0","40542.887075","True","False"
"101BTB251200007","-34866.880089","0","34866.880089","True","False"
"101BTB251200008","-33245.164736","0","33245.164736","True","False"
"101BTB251200029","-21732.446735","0","21732.446735","True","False"
"101BTB251200024","-20673.218238","0","20673.218238","True","False"
"101BTB251200039","-20545.380316","0","20545.380316","True","False"
"101BTB251200028","-18993.062692","0","18993.062692","True","False"
"101BTB251200019","-15119.573657","0","15119.573657","True","False"
"101BTB251200018","-13002.942920","0","13002.942920","True","False"
"101BTB251200006","-10519.234722","0","10519.234722","True","False"
"101BTB251200036","-9845.346248","0","9845.346248","True","False"
"101BTB251200017","-6932.467883","0","6932.467883","True","False"
"101BTB251200016","-6547.127861","0","6547.127861","True","False"
"101BTB251100002","-5108.038111","0","5108.038111","True","False"
"101BTB251200026","-3132.029088","0","3132.029088","True","False"
"101BTB251200025","-767.027532","0","767.027532","True","False"
